s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 3.0000000E+001, 0.0000000E+000,-6.9362934E-004,-2.4909255E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9387843E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0984032E+001, 9.5009219E+001,-3.0187021E+001, 1.0541222E+000,-1.4722698E+000,-6.4688333E-003, 0.0000000E+000, 0.0000000E+000, 5.5653875E+001, 6.4397581E+001, 0.0000000E+000, 2.3752116E-003, 0.0000000E+000
 3.1951132E+001, 2.1112107E+002,-5.4850277E+001, 2.5360653E+000,-5.8522835E+000,-1.3389413E-002, 0.0000000E+000, 0.0000000E+000, 1.5208078E+002, 1.5294119E+002, 0.0000000E+000, 4.6290109E-003, 0.0000000E+000
 3.2919502E+001, 2.3222693E+002,-6.1810661E+001, 2.6249620E+000,-1.4587199E+001,-1.4979911E-002, 0.0000000E+000, 0.0000000E+000, 1.5841800E+002, 1.5843905E+002, 0.0000000E+000, 5.1265304E-003, 0.0000000E+000
 3.3883034E+001, 2.3573372E+002,-6.3412333E+001, 2.5035058E+000,-2.4171965E+001,-1.5158156E-002, 0.0000000E+000, 0.0000000E+000, 1.5068395E+002, 1.5063776E+002, 0.0000000E+000, 5.2042130E-003, 0.0000000E+000
 3.4856968E+001, 2.4735751E+002,-6.6016638E+001, 2.5708563E+000,-3.0015636E+001,-1.5293193E-002, 0.0000000E+000, 0.0000000E+000, 1.5387545E+002, 1.5388080E+002, 0.0000000E+000, 5.2155862E-003, 0.0000000E+000
 3.5823860E+001, 2.3709117E+002,-6.4602244E+001, 1.7338886E+000,-3.0660612E+001,-1.5282800E-002, 0.0000000E+000, 0.0000000E+000, 1.4359611E+002, 1.4354692E+002, 0.0000000E+000, 5.2172361E-003, 0.0000000E+000
 3.6799641E+001, 2.3916541E+002,-6.5270493E+001,-1.8871576E+000,-3.0573748E+001,-1.5352733E-002, 0.0000000E+000, 0.0000000E+000, 1.4145406E+002, 1.4141866E+002, 0.0000000E+000, 5.2174723E-003, 0.0000000E+000
 3.7771534E+001, 2.3931626E+002,-6.5638538E+001,-9.5680976E+000,-3.3146586E+001,-1.5398973E-002, 0.0000000E+000, 0.0000000E+000, 1.3106103E+002, 1.3094764E+002, 0.0000000E+000, 5.2175063E-003, 0.0000000E+000
 3.8737534E+001, 2.3879215E+002,-6.6922196E+001,-1.5269334E+001,-3.6660196E+001,-1.5374097E-002, 0.0000000E+000, 0.0000000E+000, 1.2007925E+002, 1.1992505E+002, 0.0000000E+000, 5.2175112E-003, 0.0000000E+000
 3.9705082E+001, 2.4033237E+002,-6.7051176E+001,-2.0542924E+001,-3.8250867E+001,-1.5357646E-002, 0.0000000E+000, 0.0000000E+000, 1.1460533E+002, 1.1447204E+002, 0.0000000E+000, 5.2175118E-003, 0.0000000E+000
 4.0674160E+001, 2.3670918E+002,-6.7416280E+001,-2.5995521E+001,-4.0718852E+001,-1.5307773E-002, 0.0000000E+000, 0.0000000E+000, 1.0266038E+002, 1.0256322E+002, 0.0000000E+000, 5.2175119E-003, 0.0000000E+000
 4.1644958E+001, 2.4175347E+002,-6.9076808E+001,-3.1665889E+001,-4.2819551E+001,-1.5258973E-002, 0.0000000E+000, 0.0000000E+000, 9.8192880E+001, 9.8175967E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.2621769E+001, 2.3944244E+002,-6.9168035E+001,-2.9590467E+001,-4.1356826E+001,-1.5282438E-002, 0.0000000E+000, 0.0000000E+000, 9.9372225E+001, 9.9311826E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.3586872E+001, 2.4584791E+002,-7.1677322E+001,-3.2685706E+001,-4.2277928E+001,-1.5321452E-002, 0.0000000E+000, 0.0000000E+000, 9.9152812E+001, 9.9191636E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.4560558E+001, 2.4261293E+002,-7.0633731E+001,-4.3772441E+001,-4.2641584E+001,-1.5436776E-002, 0.0000000E+000, 0.0000000E+000, 8.5687663E+001, 8.5549732E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.5520721E+001, 2.3864986E+002,-7.0746268E+001,-4.3914610E+001,-4.3251583E+001,-1.5518328E-002, 0.0000000E+000, 0.0000000E+000, 8.0829877E+001, 8.0721881E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.6499760E+001, 2.3925648E+002,-7.1674576E+001,-5.3481478E+001,-4.5008715E+001,-1.5477329E-002, 0.0000000E+000, 0.0000000E+000, 6.8974528E+001, 6.9076235E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.7469669E+001, 2.3763134E+002,-7.1206856E+001,-5.4123359E+001,-4.5414169E+001,-1.5430344E-002, 0.0000000E+000, 0.0000000E+000, 6.7041191E+001, 6.6871522E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.8432274E+001, 2.4292471E+002,-7.3328051E+001,-5.3566827E+001,-4.6764665E+001,-1.5493102E-002, 0.0000000E+000, 0.0000000E+000, 6.9387901E+001, 6.9249677E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 4.9410053E+001, 2.3863531E+002,-7.1917697E+001,-6.3369035E+001,-4.7784259E+001,-1.5498264E-002, 0.0000000E+000, 0.0000000E+000, 5.5731963E+001, 5.5548816E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.0370750E+001, 2.4135414E+002,-7.3483359E+001,-7.1400699E+001,-4.6982055E+001,-1.5512576E-002, 0.0000000E+000, 0.0000000E+000, 4.9461630E+001, 4.9472515E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.1349480E+001, 2.4005229E+002,-7.3504731E+001,-7.0554319E+001,-4.8057138E+001,-1.5563523E-002, 0.0000000E+000, 0.0000000E+000, 4.7895623E+001, 4.7920537E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.2318150E+001, 2.3985201E+002,-7.3233088E+001,-6.4625770E+001,-4.9477787E+001,-1.5598202E-002, 0.0000000E+000, 0.0000000E+000, 5.2532548E+001, 5.2499766E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.3284210E+001, 2.3918521E+002,-7.4309980E+001,-6.4852480E+001,-5.0341141E+001,-1.5499039E-002, 0.0000000E+000, 0.0000000E+000, 4.9704254E+001, 4.9666114E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.4251816E+001, 2.4055167E+002,-7.4235201E+001,-8.4139746E+001,-4.9474539E+001,-1.5523616E-002, 0.0000000E+000, 0.0000000E+000, 3.2823991E+001, 3.2686657E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.5223091E+001, 2.4086255E+002,-7.4484085E+001,-7.5028852E+001,-5.0459480E+001,-1.5528510E-002, 0.0000000E+000, 0.0000000E+000, 4.0872273E+001, 4.0874606E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.6196415E+001, 2.3867713E+002,-7.4421063E+001,-8.3956845E+001,-5.1700086E+001,-1.5549625E-002, 0.0000000E+000, 0.0000000E+000, 2.9125452E+001, 2.8583583E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.7167576E+001, 2.3755710E+002,-7.4041166E+001,-8.0180563E+001,-5.1937209E+001,-1.5440807E-002, 0.0000000E+000, 0.0000000E+000, 3.1554449E+001, 3.1382722E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.8141674E+001, 2.4301115E+002,-7.5461059E+001,-8.3090412E+001,-5.1334014E+001,-1.5512327E-002, 0.0000000E+000, 0.0000000E+000, 3.3221476E+001, 3.3110157E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 5.9109257E+001, 2.3971419E+002,-7.5403035E+001,-9.7594445E+001,-5.2309880E+001,-1.5511308E-002, 0.0000000E+000, 0.0000000E+000, 1.4327879E+001, 1.4391320E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.0078915E+001, 2.4062159E+002,-7.4850536E+001,-9.0247854E+001,-5.1411760E+001,-1.5603702E-002, 0.0000000E+000, 0.0000000E+000, 2.4190971E+001, 2.4095836E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.1042896E+001, 2.3953358E+002,-7.5054293E+001,-8.0299865E+001,-5.0719025E+001,-1.5508050E-002, 0.0000000E+000, 0.0000000E+000, 3.3570971E+001, 3.3444884E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.2019653E+001, 2.3756205E+002,-7.4802185E+001,-8.2895159E+001,-5.1631024E+001,-1.5439409E-002, 0.0000000E+000, 0.0000000E+000, 2.8339333E+001, 2.8218247E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.2988792E+001, 2.4063186E+002,-7.5650585E+001,-8.8301621E+001,-5.2871272E+001,-1.5527525E-002, 0.0000000E+000, 0.0000000E+000, 2.3985889E+001, 2.3792851E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.3955273E+001, 2.4228971E+002,-7.6029685E+001,-8.6398190E+001,-5.2024628E+001,-1.5540050E-002, 0.0000000E+000, 0.0000000E+000, 2.7824495E+001, 2.7821667E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.4920586E+001, 2.3938404E+002,-7.6032405E+001,-9.2302756E+001,-5.2215649E+001,-1.5498735E-002, 0.0000000E+000, 0.0000000E+000, 1.8890563E+001, 1.8817737E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.5902786E+001, 2.4002791E+002,-7.6036076E+001,-9.3803769E+001,-5.3140454E+001,-1.5526401E-002, 0.0000000E+000, 0.0000000E+000, 1.7035186E+001, 1.7032088E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.6860985E+001, 2.4043033E+002,-7.6560821E+001,-9.6212103E+001,-5.3972517E+001,-1.5557447E-002, 0.0000000E+000, 0.0000000E+000, 1.3980457E+001, 1.3669335E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.7842484E+001, 2.3725546E+002,-7.5366062E+001,-8.8778080E+001,-5.3242887E+001,-1.5443479E-002, 0.0000000E+000, 0.0000000E+000, 1.9749215E+001, 1.9852985E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.8809387E+001, 2.4291278E+002,-7.6509319E+001,-8.8724396E+001,-5.3143526E+001,-1.5546345E-002, 0.0000000E+000, 0.0000000E+000, 2.4726612E+001, 2.4519990E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 6.9770096E+001, 2.4082402E+002,-7.6657767E+001,-8.6458497E+001,-5.3895552E+001,-1.5598705E-002, 0.0000000E+000, 0.0000000E+000, 2.3870384E+001, 2.3796608E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 7.0745560E+001, 2.3798181E+002,-7.5929904E+001,-8.9709529E+001,-5.4024383E+001,-1.5579367E-002, 0.0000000E+000, 0.0000000E+000, 1.8350504E+001, 1.8302413E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 7.1713425E+001, 2.3746264E+002,-7.5618101E+001,-9.2643930E+001,-5.3611613E+001,-1.5543381E-002, 0.0000000E+000, 0.0000000E+000, 1.5690856E+001, 1.5573449E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 7.2689430E+001, 2.4428360E+002,-7.8198479E+001,-9.7620450E+001,-5.6277901E+001,-1.5481448E-002, 0.0000000E+000, 0.0000000E+000, 1.2346632E+001, 1.2171289E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
